Im: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
Auftrag: {'mail_occurrences': 11, 'total_occurrences': 11, 'x_spam_probability': 0.6470588235294118}
der: {'mail_occurrences': 15, 'total_occurrences': 76, 'x_spam_probability': 0.8823529411764706}
Bibliothek: {'mail_occurrences': 2, 'total_occurrences': 6, 'x_spam_probability': 0.11764705882352941}
HS: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Mannheim: {'mail_occurrences': 10, 'total_occurrences': 24, 'x_spam_probability': 0.5882352941176471}
bw: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
de: {'mail_occurrences': 17, 'total_occurrences': 77, 'x_spam_probability': 1.0}
Freitag: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
23: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
März: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
2018: {'mail_occurrences': 17, 'total_occurrences': 35, 'x_spam_probability': 1.0}
r: {'mail_occurrences': 6, 'total_occurrences': 7, 'x_spam_probability': 0.35294117647058826}
mannheim: {'mail_occurrences': 17, 'total_occurrences': 88, 'x_spam_probability': 1.0}
Bestellung: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
in: {'mail_occurrences': 10, 'total_occurrences': 30, 'x_spam_probability': 0.5882352941176471}
Gerten: {'mail_occurrences': 7, 'total_occurrences': 15, 'x_spam_probability': 0.4117647058823529}
Rainer: {'mail_occurrences': 7, 'total_occurrences': 13, 'x_spam_probability': 0.4117647058823529}
Sehr: {'mail_occurrences': 8, 'total_occurrences': 9, 'x_spam_probability': 0.47058823529411764}
geehrter: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Bibliotheksbenutzer: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
folgende: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
vorgemerkte: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Medien: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
sind: {'mail_occurrences': 8, 'total_occurrences': 12, 'x_spam_probability': 0.47058823529411764}
04223810: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ST: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
302: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
26: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Aufl: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
2: {'mail_occurrences': 4, 'total_occurrences': 4, 'x_spam_probability': 0.23529411764705882}
Ex: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
3: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Machine: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Learning: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
mit: {'mail_occurrences': 8, 'total_occurrences': 17, 'x_spam_probability': 0.47058823529411764}
Python: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
und: {'mail_occurrences': 15, 'total_occurrences': 75, 'x_spam_probability': 0.8823529411764706}
Scikit: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
learn: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
TensorFlow: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
das: {'mail_occurrences': 12, 'total_occurrences': 27, 'x_spam_probability': 0.7058823529411765}
umfassende: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Praxis: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Handbuch: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
für: {'mail_occurrences': 12, 'total_occurrences': 21, 'x_spam_probability': 0.7058823529411765}
Data: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Science: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
Deep: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Predictive: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Analytics: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
