Hewlett: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Packard: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Enterprise: {'mail_occurrences': 5, 'total_occurrences': 7, 'x_spam_probability': 0.29411764705882354}
de: {'mail_occurrences': 16, 'total_occurrences': 25, 'x_spam_probability': 0.9411764705882353}
mail: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
hpe: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
com: {'mail_occurrences': 4, 'total_occurrences': 10, 'x_spam_probability': 0.23529411764705882}
Dienstag: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
9: {'mail_occurrences': 13, 'total_occurrences': 31, 'x_spam_probability': 0.7647058823529411}
Januar: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
2018: {'mail_occurrences': 17, 'total_occurrences': 23, 'x_spam_probability': 1.0}
r: {'mail_occurrences': 16, 'total_occurrences': 2982, 'x_spam_probability': 0.9411764705882353}
mannheim: {'mail_occurrences': 16, 'total_occurrences': 16, 'x_spam_probability': 0.9411764705882353}
Möchten: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Sie: {'mail_occurrences': 4, 'total_occurrences': 24, 'x_spam_probability': 0.23529411764705882}
mehr: {'mail_occurrences': 4, 'total_occurrences': 8, 'x_spam_probability': 0.23529411764705882}
über: {'mail_occurrences': 5, 'total_occurrences': 6, 'x_spam_probability': 0.29411764705882354}
die: {'mail_occurrences': 8, 'total_occurrences': 52, 'x_spam_probability': 0.47058823529411764}
zukunftsweisenden: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Tech: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
Trends: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
web: {'mail_occurrences': 3, 'total_occurrences': 3, 'x_spam_probability': 0.17647058823529413}
view: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Produkte: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Support: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
Kontakt: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
HPE: {'mail_occurrences': 2, 'total_occurrences': 7, 'x_spam_probability': 0.11764705882352941}
Technology: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Now: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Vier: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
heiße: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
für: {'mail_occurrences': 9, 'total_occurrences': 33, 'x_spam_probability': 0.5294117647058824}
Diese: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
Technologien: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
sind: {'mail_occurrences': 4, 'total_occurrences': 6, 'x_spam_probability': 0.23529411764705882}
aus: {'mail_occurrences': 4, 'total_occurrences': 10, 'x_spam_probability': 0.23529411764705882}
dem: {'mail_occurrences': 5, 'total_occurrences': 11, 'x_spam_probability': 0.29411764705882354}
Labor: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
im: {'mail_occurrences': 8, 'total_occurrences': 16, 'x_spam_probability': 0.47058823529411764}
Mainstream: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
angelangt: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
und: {'mail_occurrences': 11, 'total_occurrences': 97, 'x_spam_probability': 0.6470588235294118}
haben: {'mail_occurrences': 6, 'total_occurrences': 7, 'x_spam_probability': 0.35294117647058826}
das: {'mail_occurrences': 8, 'total_occurrences': 19, 'x_spam_probability': 0.47058823529411764}
Potenzial: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ihr: {'mail_occurrences': 2, 'total_occurrences': 8, 'x_spam_probability': 0.11764705882352941}
Unternehmen: {'mail_occurrences': 8, 'total_occurrences': 12, 'x_spam_probability': 0.47058823529411764}
zu: {'mail_occurrences': 9, 'total_occurrences': 30, 'x_spam_probability': 0.5294117647058824}
revolutionieren: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
Ste: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
ts: {'mail_occurrences': 2, 'total_occurrences': 2, 'x_spam_probability': 0.11764705882352941}
inf: {'mail_occurrences': 1, 'total_occurrences': 1, 'x_spam_probability': 0.058823529411764705}
or: {'mail_occurrences': 4, 'total_occurrences': 10, 'x_spam_probability': 0.23529411764705882}
mi: {'mail_occurrences': 1, 'total_occurrences': 3, 'x_spam_probability': 0.058823529411764705}
ert: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
Be: {'mail_occurrences': 1, 'total_occurrences': 2, 'x_spam_probability': 0.058823529411764705}
su: {'mail_occurrences': 1, 'total_occurrences': 3, 'x_spam_probability': 0.058823529411764705}
ch: {'mail_occurrences': 2, 'total_occurrences': 7, 'x_spam_probability': 0.11764705882352941}
en: {'mail_occurrences': 2, 'total_occurrences': 37, 'x_spam_probability': 0.11764705882352941}
Si: {'mail_occurrences': 1, 'total_occurrences': 5, 'x_spam_probability': 0.058823529411764705}
